objectid,filename,youtubeid,title,format,description,creator,date,subject,location,latitude,longitude,language
Thales,Thales.jpg,,Thales,image/jpg,An artistic depiction of Thales,,,"Thales, Greek",,,,
Pythagoras,Pythagoras.jpg,,Pythagoras,image/jpg,An artistic depiction of Pythagoras,,,"Pythagoras, Greek",,,,
Zeno,Zeno.jpg,,Zeno of Elea,image/jpg,An artistic depiction of Zeno,,,"Zeno, Greek",,,,
Eudoxus,Eudoxus.JPG,,Eudoxus of Cnidus,image/jpg,An artistic depiction of Eudoxus,,,"Eudoxus, Greek",,,,
Plato,Plato.jpg,,Plato,image/jpg,An artistic depiction of Zeno,,,"Plato, Greek",,,,
Archimedes,Archimedes.jpg,,Archimedes,image/jpg,An artistic depiction of Archimedes,,,"Archimedes, Greek, Math",,,,
Aristotle,Aristotle.jpg,,Aristotle,image/jpg,An artistic depiction of Aristotle,,,"Aristotle, Greek",,,,
Democritus,Democritus.jpg,,Democritus,image/jpg,An artisitc depiction of Democritus,,,"Democritus, Greek",,,,
Various Geometries,different geometries.png,,Various Geometries,image/png,A depiction of several different geometries and how figures are affected by the plane they lie on,,,"Geometry, Math",,,,
Eratosthenes,Eratosthenes.png,,Eratosthenes,image/png,An artistic depiction of Eratosthenes,,,"Eratosthenes, Greek",,,,
Euclid,Euclid.jpg,,Euclid,image/jpg,An artistic depiction of Euclid,,,"Euclid, Greek",,,,
Hipparchus,Hipparchus.jpg,,Hipparchus,image/jpg,An artistic depiction of Hipparchus,,,"Hipparchus, Greek",,,,
Pythagorean Theorem,Pythagroean Theorem.png,,Pythagorean Theorem,image/png,A depiction of how the Pythagorean theorem is applied to triangles,,,"Pythagoras, Greek, Math, Geometry, Triangle",,,,
sqrt(2) Proof,sqrt(2) irrational.jpg,,Proof sqrt(2) is Irrational,image/png,A proof by contradiction that the sqrt(2) is an irrational number,,,"Proof, Irrational, Math, Pythagoras",,,,
Intercept Theorem,Thales - Intercept Theorem.png,,Thales' Intercept Theorem,image/png,A geometric depiction of Thales' intercept theorem,,,"Thales, Geometry",,,,
